username,#assignment,#problem,%assignment>0.8,score,syntax,ac,WRONG,TLE,RTE,Final_count,total_submissions,rate_pre_score,unique_days,unique_weeks,Compilation_Error,avg_submissions_per_day,avg_submissions_per_week,assignment_diversity,problem_diversity,mean_submissions_per_problem
ed9eaeb6a707f50154024b24d7efcb874a9795dd,5,58,100,98.01724138,24.46,42.45,25.18,5.76,2.88,58,139,43.16546763,16,7,24.46043165,8.6875,19.85714286,0.035971223,0.417266187,2.396551724
ba12c0a2cb367af0467e479c03507c71a805d291,6,112,100,100,23.2,38.56,32.29,3.13,5.96,117,319,39.18495298,36,13,23.19749216,8.861111111,24.53846154,0.018808777,0.351097179,2.726495726
0bd2037bf68a97753e5e67ab55dac026a649f279,5,54,60,90.84166667,25.91,21.82,49.55,3.18,2.27,54,220,27.72727273,18,10,25.90909091,12.22222222,22,0.022727273,0.245454545,4.074074074
b7298b0fe50443a623af9b56792b330c2d052845,5,110,100,99.11881818,14.57,44.13,34.82,3.24,5.26,110,247,44.53441296,29,13,14.57489879,8.517241379,19,0.020242915,0.44534413,2.245454545
c60be70309789b39355dc612f36e37090ccad5dc,10,83,70,97.22891566,15.12,44.19,32.56,6.98,4.07,83,172,44.18604651,23,12,15.11627907,7.47826087,14.33333333,0.058139535,0.48255814,2.072289157
83e4ca230ab9b35d221d09d335850af44966b772,1,2,0,17.305,33.33,0,0,66.67,0,1,3,0,1,1,33.33333333,3,3,0.333333333,0.666666667,1.5
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,11,103,81.82,97.49728155,13.19,37.85,45.83,2.78,1.04,103,288,38.88888889,38,11,13.19444444,7.578947368,26.18181818,0.038194444,0.357638889,2.796116505
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,1,2,0,14.285,0,0,100,0,0,2,6,0,1,1,0,6,6,0.166666667,0.333333333,3
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,5,23,0,46.23173913,52.14,8.55,36.75,2.56,0,23,117,8.547008547,8,5,52.13675214,14.625,23.4,0.042735043,0.196581197,5.086956522
67d64015616b9e7f49e213890b7b93a2f8796f07,21,117,61.9,95.14735043,13.41,27.47,53.41,9.01,1.32,118,455,28.79120879,32,14,13.40659341,14.21875,32.5,0.046153846,0.257142857,3.855932203
eb451c65ea210bed6af798282c2c6205c79f71fd,14,100,85.71,99.1428,11.19,37.55,46.21,2.17,4.33,100,277,41.87725632,45,15,11.19133574,6.155555556,18.46666667,0.050541516,0.36101083,2.77
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,22,127,68.18,94.68472441,11.78,34.48,45.4,11.21,4.6,130,348,37.64367816,36,16,11.7816092,9.666666667,21.75,0.063218391,0.364942529,2.676923077
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,7,104,57.14,93.33057692,20.08,36.14,38.15,5.22,1.61,112,249,38.15261044,26,10,20.08032129,9.576923077,24.9,0.02811245,0.417670683,2.223214286
18fc5492e3a88861f35c23bbb2805f724c1a135a,7,38,14.29,89.58342105,12.14,42.14,35.71,7.14,8.57,46,140,42.14285714,14,7,12.14285714,10,20,0.05,0.271428571,3.043478261
99103791231143dd15aa77f2aeb87b2cd4a1c22e,5,29,60,92.78965517,17.78,30,51.11,8.89,0,29,90,32.22222222,5,5,17.77777778,18,18,0.055555556,0.322222222,3.103448276
60c257442a0ef9aa6eb039f58c40be980bfe58b7,8,65,37.5,94.12215385,36.23,18.26,43.71,1.5,0.6,64,334,18.26347305,26,10,36.22754491,12.84615385,33.4,0.023952096,0.194610778,5.138461538
4cd092562ee4a06eb01e8bd1e9cb7e169fc38c92,10,73,80,97.62808219,5.6,27.99,55.97,9.7,8.96,75,268,32.8358209,33,11,5.597014925,8.121212121,24.36363636,0.037313433,0.27238806,3.573333333
